Date,Temperature,Fuel_Price,CPI,Unemployment,IsHoliday
2019-01-06,29.3,2.601,210.001,6.15,False
2019-01-13,30.2,2.662,210.087,5.93,False
2019-01-20,32.9,2.722,210.182,6.06,False
2019-01-27,32.0,2.779,210.263,5.88,False
2019-02-03,38.3,2.834,210.351,5.98,True
2019-02-10,34.8,2.886,210.437,6.03,True
2019-02-17,36.0,2.934,210.525,6.03,False
2019-02-24,45.0,2.977,210.612,6.13,False
2019-03-03,46.3,3.015,210.695,6.06,False
2019-03-10,53.7,3.047,210.789,5.92,False
2019-03-17,47.2,3.071,210.87,6.0,False
2019-03-24,55.9,3.089,210.958,6.02,False
2019-03-31,59.2,3.101,211.051,5.98,False
2019-04-07,59.9,3.104,211.148,5.89,False
2019-04-14,64.1,3.102,211.25,5.97,False
2019-04-21,64.8,3.092,211.342,5.97,False
2019-04-28,69.6,3.074,211.435,6.08,False
2019-05-05,66.4,3.05,211.512,5.98,False
2019-05-12,71.9,3.02,211.605,6.05,False
2019-05-19,75.6,2.984,211.703,6.17,False
2019-05-26,71.1,2.94,211.796,6.09,False
2019-06-02,76.0,2.893,211.884,5.98,False
2019-06-09,75.0,2.84,211.982,6.02,False
2019-06-16,82.2,2.786,212.073,6.12,False
2019-06-23,79.0,2.729,212.169,5.99,False
2019-06-30,87.9,2.67,212.262,5.9,False
2019-07-07,76.3,2.611,212.341,5.99,False
2019-07-14,76.7,2.552,212.436,6.05,False
2019-07-21,76.3,2.491,212.541,6.03,False
2019-07-28,71.2,2.433,212.635,5.96,False
2019-08-04,79.9,2.379,212.725,6.1,False
2019-08-11,75.0,2.327,212.814,5.9,False
2019-08-18,66.5,2.281,212.897,5.94,False
2019-08-25,65.4,2.239,213.0,6.02,False
2019-09-01,66.6,2.201,213.085,5.86,False
2019-09-08,71.6,2.17,213.174,6.03,True
2019-09-15,68.5,2.146,213.247,6.06,True
2019-09-22,58.2,2.128,213.335,6.34,False
2019-09-29,60.6,2.116,213.431,6.15,False
2019-10-06,46.7,2.113,213.517,6.19,False
2019-10-13,53.3,2.116,213.597,6.24,False
2019-10-20,46.7,2.128,213.684,6.29,False
2019-10-27,42.9,2.146,213.774,6.39,False
2019-11-03,40.2,2.17,213.867,6.29,False
2019-11-10,38.0,2.2,213.953,6.53,False
2019-11-17,42.5,2.236,214.043,6.65,False
2019-11-24,31.8,2.278,214.133,6.59,True
2019-12-01,33.1,2.326,214.217,6.65,True
2019-12-08,36.4,2.378,214.3,6.72,False
2019-12-15,35.9,2.432,214.382,6.89,False
2019-12-22,28.0,2.49,214.479,6.95,True
2019-12-29,34.4,2.549,214.57,7.22,True
2020-01-05,30.7,2.61,214.659,7.25,False
2020-01-12,20.7,2.669,214.746,7.43,False
2020-01-19,34.2,2.729,214.833,7.52,False
2020-01-26,37.3,2.787,214.927,7.78,False
2020-02-02,34.0,2.843,215.032,7.78,True
2020-02-09,35.6,2.896,215.103,7.82,True
2020-02-16,42.1,2.944,215.185,8.07,False
2020-02-23,43.5,2.986,215.278,8.06,False
2020-03-01,44.5,3.023,215.384,8.28,False
2020-03-08,47.7,3.054,215.471,8.18,False
2020-03-15,56.6,3.079,215.577,8.25,False
2020-03-22,49.0,3.096,215.664,8.31,False
2020-03-29,47.2,3.107,215.744,8.12,False
2020-04-05,58.0,3.108,215.837,8.17,False
2020-04-12,64.6,3.104,215.925,8.04,False
2020-04-19,65.7,3.094,216.018,7.84,False
2020-04-26,61.7,3.076,216.119,7.88,False
2020-05-03,60.2,3.052,216.209,7.71,False
2020-05-10,74.1,3.02,216.291,7.56,False
2020-05-17,89.7,2.982,216.378,7.5,False
2020-05-24,73.9,2.94,216.461,7.28,False
2020-05-31,74.3,2.891,216.547,7.16,False
2020-06-07,75.4,2.841,216.646,7.17,False
2020-06-14,78.0,2.785,216.75,6.93,False
2020-06-21,77.3,2.727,216.834,6.73,False
2020-06-28,77.2,2.667,216.934,6.93,False
2020-07-05,81.3,2.608,217.014,6.7,False
2020-07-12,74.1,2.547,217.105,6.52,False
2020-07-19,80.8,2.488,217.205,6.41,False
2020-07-26,79.8,2.429,217.296,6.22,False
2020-08-02,73.3,2.373,217.385,6.31,False
2020-08-09,79.0,2.321,217.479,6.32,False
2020-08-16,72.3,2.274,217.568,6.19,False
2020-08-23,72.4,2.231,217.651,6.15,False
2020-08-30,70.2,2.193,217.747,6.04,False
2020-09-06,69.2,2.16,217.838,6.04,True
2020-09-13,61.6,2.135,217.93,5.91,True
2020-09-20,62.4,2.117,218.013,5.93,False
2020-09-27,52.9,2.107,218.114,6.08,False
2020-10-04,45.6,2.103,218.199,6.08,False
2020-10-11,49.7,2.106,218.274,6.09,False
2020-10-18,44.6,2.116,218.374,5.93,False
2020-10-25,44.5,2.133,218.455,5.97,False
2020-11-01,40.0,2.158,218.544,5.79,False
2020-11-08,40.2,2.189,218.614,5.99,False
2020-11-15,39.8,2.226,218.703,6.06,False
2020-11-22,34.2,2.269,218.786,5.97,False
2020-11-29,33.4,2.316,218.882,5.87,True
2020-12-06,36.9,2.368,218.972,6.01,False
2020-12-13,31.2,2.422,219.063,5.92,False
2020-12-20,31.2,2.48,219.141,5.98,True
2020-12-27,35.7,2.539,219.235,6.03,True
2021-01-03,25.7,2.598,219.331,5.86,False
2021-01-10,30.8,2.657,219.427,5.94,False
2021-01-17,32.8,2.717,219.523,5.99,False
2021-01-24,32.3,2.775,219.614,6.0,False
2021-01-31,37.2,2.832,219.71,5.97,False
2021-02-07,35.1,2.883,219.807,6.01,True
2021-02-14,35.2,2.93,219.897,6.04,False
2021-02-21,44.9,2.973,219.991,6.04,False
2021-02-28,47.8,3.011,220.08,5.98,False
2021-03-07,46.4,3.043,220.167,6.0,False
2021-03-14,52.7,3.068,220.267,5.91,False
2021-03-21,48.9,3.085,220.364,6.04,False
2021-03-28,53.5,3.096,220.455,5.97,False
2021-04-04,57.1,3.1,220.544,6.03,False
2021-04-11,63.9,3.097,220.634,6.04,False
2021-04-18,65.9,3.086,220.708,5.94,False
2021-04-25,64.7,3.069,220.801,6.05,False
2021-05-02,72.3,3.044,220.899,5.94,False
2021-05-09,75.7,3.012,221.004,5.99,False
2021-05-16,71.8,2.973,221.092,5.98,False
2021-05-23,78.9,2.931,221.173,6.02,False
