series,Store,Dept,model_used,week_ahead,forecast_date,forecast_value,forecast_low,forecast_high
S01_D01,1,1,holt_winters,1,2023-12-31,24075.38,20965.0,27185.75
S01_D01,1,1,holt_winters,2,2024-01-07,24198.59,21088.21,27308.97
S01_D01,1,1,holt_winters,3,2024-01-14,24310.64,21200.26,27421.02
S01_D01,1,1,holt_winters,4,2024-01-21,24194.19,21083.82,27304.57
S01_D01,1,1,holt_winters,5,2024-01-28,26551.34,23440.96,29661.72
S01_D01,1,1,holt_winters,6,2024-02-04,31568.58,28458.2,34678.96
S01_D01,1,1,holt_winters,7,2024-02-11,26722.43,23612.05,29832.81
S01_D01,1,1,holt_winters,8,2024-02-18,23082.79,19972.41,26193.16
S01_D02,1,2,global_gbm,1,2023-12-31,74223.37,48255.95,74223.37
S01_D02,1,2,global_gbm,2,2024-01-07,47340.49,41172.22,51320.86
S01_D02,1,2,global_gbm,3,2024-01-14,45774.14,41298.4,47715.58
S01_D02,1,2,global_gbm,4,2024-01-21,44374.97,42463.43,48200.25
S01_D02,1,2,global_gbm,5,2024-01-28,45282.61,40059.24,46955.66
S01_D02,1,2,global_gbm,6,2024-02-04,65243.06,58079.86,69774.11
S01_D02,1,2,global_gbm,7,2024-02-11,66325.19,55670.95,67828.54
S01_D02,1,2,global_gbm,8,2024-02-18,50941.77,39773.47,58084.02
S01_D03,1,3,seasonal_naive,1,2023-12-31,49016.35,31462.33,66570.37
S01_D03,1,3,seasonal_naive,2,2024-01-07,46116.42,28562.4,63670.44
S01_D03,1,3,seasonal_naive,3,2024-01-14,46031.94,28477.92,63585.96
S01_D03,1,3,seasonal_naive,4,2024-01-21,49004.93,31450.91,66558.95
S01_D03,1,3,seasonal_naive,5,2024-01-28,49021.06,31467.04,66575.08
S01_D03,1,3,seasonal_naive,6,2024-02-04,58323.73,40769.71,75877.75
S01_D03,1,3,seasonal_naive,7,2024-02-11,240361.07,222807.05,257915.09
S01_D03,1,3,seasonal_naive,8,2024-02-18,44629.63,27075.61,62183.65
S01_D04,1,4,seasonal_naive,1,2023-12-31,13423.12,12272.39,14573.85
S01_D04,1,4,seasonal_naive,2,2024-01-07,14751.08,13600.35,15901.81
S01_D04,1,4,seasonal_naive,3,2024-01-14,14288.43,13137.7,15439.16
S01_D04,1,4,seasonal_naive,4,2024-01-21,14191.66,13040.93,15342.39
S01_D04,1,4,seasonal_naive,5,2024-01-28,13152.28,12001.55,14303.01
S01_D04,1,4,seasonal_naive,6,2024-02-04,14832.75,13682.02,15983.48
S01_D04,1,4,seasonal_naive,7,2024-02-11,14506.53,13355.8,15657.26
S01_D04,1,4,seasonal_naive,8,2024-02-18,13542.34,12391.61,14693.07
S01_D05,1,5,seasonal_naive,1,2023-12-31,39425.92,35812.73,43039.11
S01_D05,1,5,seasonal_naive,2,2024-01-07,37365.63,33752.44,40978.82
S01_D05,1,5,seasonal_naive,3,2024-01-14,37645.58,34032.39,41258.77
S01_D05,1,5,seasonal_naive,4,2024-01-21,37022.31,33409.12,40635.5
S01_D05,1,5,seasonal_naive,5,2024-01-28,31918.65,28305.46,35531.84
S01_D05,1,5,seasonal_naive,6,2024-02-04,33870.75,30257.56,37483.94
S01_D05,1,5,seasonal_naive,7,2024-02-11,34835.98,31222.79,38449.17
S01_D05,1,5,seasonal_naive,8,2024-02-18,29922.22,26309.03,33535.41
S01_D06,1,6,global_gbm,1,2023-12-31,69448.74,43920.24,69448.74
S01_D06,1,6,global_gbm,2,2024-01-07,47015.26,39431.34,51418.79
S01_D06,1,6,global_gbm,3,2024-01-14,46057.38,42619.05,48614.39
